0.751, 1.017, 0.906
0.780, 1.065, 0.791
0.762, 0.970, 0.877
0.801, 0.855, 0.774
0.797, 0.978, 0.697
0.880, 1.022, 0.480
0.898, 1.110, 0.476
0.851, 0.974, 0.557
0.949, 0.700, 0.397
0.916, 0.634, 0.352
0.913, 0.671, 0.076
0.791, 1.132, -0.158
0.713, 1.353, -0.268
0.749, 1.268, -0.265
0.695, 1.070, -0.027
0.670, 0.984, -0.033
0.607, 1.414, -0.226
0.599, 1.477, -0.423
0.575, 1.221, -0.176
0.572, 1.117, -0.082
0.412, 1.196, -0.330
0.446, 1.005, -0.562
0.499, 0.888, -0.610
0.336, 1.196, -0.826
0.227, 1.279, -1.192
0.235, 1.239, -1.457
0.184, 1.087, -1.366
0.172, 0.854, -1.206
0.212, 0.959, -1.195
0.208, 1.314, -1.371
0.253, 1.193, -1.165
0.233, 1.000, -1.109
0.227, 1.410, -0.803
0.200, 1.756, -1.015
0.320, 1.418, -1.279
0.342, 0.553, -0.990
0.508, 0.847, -1.062
0.602, 1.134, -0.688
0.654, 0.743, -0.246
0.759, 0.568, -0.223
0.902, 0.308, -0.205
0.994, 0.385, -0.341
1.091, 0.221, -0.118
1.058, 0.392, -0.083
1.228, 0.165, 0.091
1.259, 0.097, 0.140
1.286, 0.114, 0.196
1.259, 0.004, 0.154
1.446, -0.087, 0.102
1.323, 0.030, 0.187
1.423, 0.218, 0.213
1.330, 0.289, 0.233
1.315, 0.046, 0.240
1.315, -0.231, 0.271
1.343, -0.228, 0.230
1.233, -0.180, 0.079
1.181, -0.161, -0.130
1.189, -0.136, -0.440
1.204, -0.267, -0.668
1.230, -0.277, -0.847
1.241, -0.134, -0.892
1.221, 0.049, -0.501
1.270, 0.199, -0.384
1.275, -0.030, -0.182
1.160, -0.143, -0.305
1.175, -0.187, -0.264
1.054, -0.161, -0.476
0.945, -0.262, -0.671
1.163, -0.607, -0.655
1.000, -0.456, -0.764
0.977, -0.069, -0.942
1.038, -0.006, -1.001
0.984, -0.015, -0.904
0.950, -0.013, -0.745
0.861, -0.062, -0.775
0.869, -0.047, -0.847
0.771, -0.032, -1.006
0.790, -0.136, -1.053
0.761, -0.361, -0.912
0.826, -0.269, -0.662
0.544, -0.204, -0.512
0.364, -0.189, -1.158
0.332, -0.768, -1.611
0.305, -0.468, -1.820
0.284, -0.110, -1.857
0.141, 0.047, -1.769
0.125, 0.178, -1.448
-0.042, -0.098, -1.070
-0.036, -0.289, -1.116
-0.093, -0.086, -1.337
-0.289, -0.035, -1.619
-0.371, -0.084, -1.687
-0.372, -0.147, -1.800
-0.420, 0.049, -1.904
-0.565, -0.003, -1.882
-0.656, -0.231, -1.731
-0.578, -0.257, -1.675
-0.734, -0.086, -1.298
-0.842, -0.191, -1.497
-0.704, -0.262, -1.673
-0.921, -0.241, -1.630
-0.896, -0.403, -1.641
-0.978, -0.190, -1.393
-1.161, -0.076, -1.216
-1.247, -0.276, -1.243
-1.321, -0.647, -1.406
-1.280, -0.718, -1.503
-1.507, -0.463, -1.417
-1.450, -0.436, -1.347
-1.399, -0.675, -1.250
-1.416, -1.085, -1.155
-1.427, -1.281, -1.041
-1.517, -1.121, -0.927
-1.681, -1.041, -0.848
-1.476, -1.248, -0.865
-1.549, -1.258, -0.792
-1.360, -1.285, -0.652
-1.349, -1.027, -0.547
-1.295, -1.136, -0.473
-1.008, -1.184, -0.410
-0.986, -1.362, -0.308
-0.916, -1.569, -0.233
-0.827, -1.796, -0.115
-0.875, -1.843, 0.044
-0.786, -1.546, 0.183
-0.655, -1.350, 0.195
-0.624, -1.255, 0.175
-0.528, -1.435, -0.020
-0.441, -1.989, 1.158
-0.414, -1.840, 0.237
-0.353, -1.831, 0.015
-0.468, -2.540, 1.152
-0.501, -1.941, 0.352
-0.359, -2.052, 0.297
-0.179, -2.233, 0.830
-0.011, -2.325, 0.629
-0.016, -1.610, -0.181
0.226, -1.351, 0.545
0.295, -1.335, 0.758
0.471, -1.321, 0.467
0.466, -1.432, 0.527
0.526, -1.373, 0.871
0.560, -1.469, 0.886
0.741, -1.862, 0.615
0.766, -1.623, 0.318
0.831, -0.928, 0.181
0.958, -1.008, 0.157
0.900, -1.223, 0.268
0.956, -0.912, 0.778
0.957, -0.653, 0.860
1.027, -0.906, 0.859
0.933, -1.027, 0.936
0.900, -0.772, 1.101
0.902, -0.492, 1.124
0.916, -0.642, 0.902
0.912, -0.513, 1.112
0.687, -0.287, 1.222
0.693, -0.429, 1.150
0.511, -0.235, 1.389
0.406, -0.190, 1.460
0.255, -0.265, 1.732
0.170, -0.129, 2.005
0.172, -0.105, 1.968
0.097, 0.012, 2.099
0.070, 0.230, 1.841
-0.095, 0.278, 1.688
-0.011, 0.266, 1.580
-0.248, 0.320, 1.711
-0.212, 0.044, 1.595
-0.433, 0.456, 1.781
-0.572, 0.901, 2.011
-0.532, 0.606, 1.870
-0.631, 0.536, 1.987
